Name,Number,Type,Street,Quarter,Plan_number
Chalet des Pentes,17,Chalet,Rue des étroits,La Daille,2
Chalet des Pistes,17,Chalet,Rue des étroits,La Daille,2
Chalet des Sources,218,Chalet,Montée de Bellevarde,Vers les Eaux,6
Chalet du Laisinant,523,Résidence,Route du Laisinant,Le Laisinant,13
Chalet Etoile des Neiges,18,Chalet,Rue des étroits,La Daille,2
Chalet Izia Les,430,Chalet,Rue du Cachay,Pont du Joseray,9
Chalet Les Alpes,233,Chalet,Montée de Bellevarde,Vers les Eaux,6
Chalet Soleil Levant,19,Chalet,Rue des étroits,La Daille,2
Chalet Time,298,Agence Immobilière,Val Village,Val Village,8
Chalets de Bellevarde 1 Les,151,Résidence,Route de la Balme,La Calabourdanne,7
Chalets de Bellevarde 2 Les,152,Résidence,Route de la Balme,La Calabourdanne,7
Chalets de Bellevarde 3 Les,153,Résidence,Route de la Balme,La Calabourdanne,7
Chalets de Solaise Les,426,Résidence,Rue de la Legettaz,La Legettaz,10
Chalets de Solaise Les (P et V),138,Résidence,Accès par Avenue Olympique,L'Illaz,4
Chamois d'Or,354,Hôtel,Accès par Rue de la Face,Chantel,9
Champs Avalins Hôtel,8,Résidence,Rue du Rosoleil,La Daille,1
Changement d'air,168,Décoratrice d'intérieur,Route de la Balme,La Balme,5
Chantelouve,167,Résidence,Route de la Balme,La Balme,5
Chanterelles Les,160,Chalet,Route de la Balme,La Balme,5
Chardon Le,390,Chalet,Rue de la Legettaz,La Legettaz,11
Chardons Les,446,Hôtel,Montée du Bellevue,Vieux Village,8
Charly,386,Chalet,Accès par Rue du Joseray,Châtelard,11
Charvet Le,203,Résidence,Rue du Coin,Le Coin,7
Chaufferie IDEX,13,Bâtiment,Rue du Rosoleil,La Daille,1
Chavonnes Les,479,Chalet,Rue des Leissières,Vieux Village,8
Chêne,653,Chalet,Avenue du Prariond,Le Rogoney,8
Cherrier,195,Résidence,Rue du Parc des Sports,Le Coin,7
